"PROVEEDOR","CATEGORIA","ID_ARTICULO","UPC","DESC_ARTICULO","DIVISION","PLAZA","MERCADO","CAMPO","NUM_TIENDA","NOMBRE_TIENDA","INVENTARIO_UDS","INVENTARIO_PESOS","VENTA_UDS_PTD","VENTA_PESOS_PTD","VENTA_PERDIDA_PESOS","ESTATUS"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100021813","7503023959506","CAMEL MAX DOUBLE 1 27.4 G","20 México","890 Quintana Roo","M890","C89001","2644","JARDINES","0","0",".82","55.23","55.23","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100080896","40331362","WINSTON CIGARR CLASSIC  14S CAJET","50 Nuevo León","500 Nuevo León","M504","C50408","556","Puerta Monterrey","0","0",".29","12.32","12.32","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100022971","7503023959278","CAMEL CAMEL FILTERS ORIGINAL 25S 29 GR","20 México","890 Quintana Roo","M890","C89009","2804","JARDINES MAYAKOBA","0","0","1.71","115.27","115.27","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100014850","4033100094316","WINSTON CLASSIC 25S		","10 Coahuila-Tamaulipas","110 Tamaulipas (Matamoros)","M110","C11002","1398","Carr. A La Playa Lauro Villar","0","0",".14","9.52","9.52","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100022996","7503023959513","WINSTON WINSTON RED 20S 1 PZ","20 México","700 Puebla","M700","C70001","2113","UDLA 14 OTE.","0","0",".18","6.93","6.93","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100012957","7503023959001","CAMEL FILTERS 20S 1CAJE","20 México","720 Morelos","M720","C72001","2051","10 DE ABRIL ESQ MORELOS","0","0",".53","36.78","36.78","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","062 RRPs (Vapor y tabaco calentado)","100018638","7501045357898","HEETS RUSSET SELECTION 1 CAJETILLA","20 México","200 México","M205","C20507","2048","Miramontes esq. Monges","0","0",".14","8.99","8.99","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100014570","75068738","MARLBORO GOLD 20 RCB 1CAJE","30 Jalisco-Baja California-Sonora","620 Baja California (Mexicali)","M620","C62001","2846","NUEVA VILLAFONTANA","0","0","1.57","116.4","116.4","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100024320","75006280","FAROS FAROS KS BOX 25 CAJETILLA PZ","20 México","200 México","M203","C20302","1911","ESTADIO AZTECA ESQ. TLALPAN","0","0",".71","30.79","30.79","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100020945","75022266","LM LM 14S 14S 1 CAJETILLA","30 Jalisco-Baja California-Sonora","650 Sonora (Hermosillo)","M650","C65002","1792","Carretera a la Colorada","0","0",".07","2.28","2.28","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100023891","7503031950939","MARLBORO SUMMER FUSION MNT LATA DISCO 24 MARLBORO SUMMER LATA 24 DISCO CAJETILLA PZ","20 México","200 México","M204","C20406","2733","VENTURA INTERLOMAS","0","0",".04","2.25","2.25","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100024301","7503031950960","MARLBORO VISTA SUMMER FUSION 100 BOX 20 LATA MEXICO 2024 CAJETILLA PZ","20 México","200 México","M201","C20102","467","W.T.C.","0","0",".54","33.71","33.71","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100024399","7311250044403","ZYN COOL MINT MINI STRONG UNIDAD PZ","20 México","200 México","M204","C20402","2929","LA ANTIGUA","0","0",".25","12.93","12.93","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100023311","75006266","MARLBORO MARLBORO CRAFTED 2.0 GOLD 100 BOX 20 CAJETILLA PZ","50 Nuevo León","500 Nuevo León","M508","C50802","1896","Barragán y Cipres","0","0",".07","4.5","4.5","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100013110","75065515","MARLBORO RUBY 14 1CAJETILLA","20 México","890 Quintana Roo","M890","C89005","2700","QUINTA DEL MAR","1","62.07","1.07","66.5","4.43","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","062 RRPs (Vapor y tabaco calentado)","100023679","75032784","TEREA AMBER CAJETILLA PZ","20 México","720 Morelos","M720","C72001","2051","10 DE ABRIL ESQ MORELOS","0","0",".13","8.39","8.39","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100022968","75025359","MARLBORO SOL SHUFFLE MNT 100 BOX 20","20 México","200 México","M200","C20002","1424","Campos Eliseos 2","0","0",".36","22.48","22.48","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","062 RRPs (Vapor y tabaco calentado)","100015417","7501045357447","HEETS BLUE  SELECTION 1 CAJETILLA","50 Nuevo León","500 Nuevo León","M507","C50708","1405","Pedregal La Silla","0","0",".21","13.49","13.49","DESABASTO"
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.","008 Cigarros","100023891","7503031950939","MARLBORO SUMMER FUSION MNT LATA DISCO 24 MARLBORO SUMMER LATA 24 DISCO CAJETILLA PZ","20 México","200 México","M204","C20407","1692","Av. Las Granjas Esq. Salónica","0","0",".07","4.5","4.5","DESABASTO"
