"PROVEEDOR","CATEGORIA","ID_ARTICULO","UPC","DESC_ARTICULO","DIVISION","PLAZA","MERCADO","CAMPO","NUM_TIENDA","NOMBRE_TIENDA","INVENTARIO_UDS","INVENTARIO_PESOS","VENTA_UDS_PTD","VENTA_PESOS_PTD","VENTA_PERDIDA_PESOS","ESTATUS"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100022971","7503023959278","CAMEL CAMEL FILTERS ORIGINAL 25S 29 GR","50 Nuevo León","500 Nuevo León","M501","C50104","221","Gpe. Y Zaragoza","0","0",".29","17.98","17.98","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100014850","4033100094316","WINSTON CLASSIC 25S		","50 Nuevo León","500 Nuevo León","M501","C50102","680","Palma Gorda","0","0",".29","17.73","17.73","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100021813","7503023959506","CAMEL MAX DOUBLE 1 27.4 G","10 Coahuila-Tamaulipas","110 Tamaulipas (Matamoros)","M110","C11005","2065","LEON GUZMAN ESQUINA VOLUNTAD","0","0",".11","7.54","7.54","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100014850","4033100094316","WINSTON CLASSIC 25S		","20 México","890 Quintana Roo","M890","C89010","2954","PLAZA BOHEMIA","0","0",".85","57.28","57.28","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100014678","7503023959148","CAMEL NATURAL FLAVOR 20						","20 México","890 Quintana Roo","M890","C89008","2900","PALALMA","0","0",".4","24.83","24.83","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100021814","7503023959490","CAMEL SWITCH 100S 27.4 G","50 Nuevo León","500 Nuevo León","M508","C50808","2311","Paseo Virreyes de Ceballos y Camino a Sta. Rosa","0","0",".04","2.25","2.25","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100022971","7503023959278","CAMEL CAMEL FILTERS ORIGINAL 25S 29 GR","30 Jalisco-Baja California-Sonora","610 Baja California (Ensenada)","M610","C61001","1536","Costero Y Miramar","0","0","1.04","70.97","70.97","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100022995","7503023959520","WINSTON WINSTON RED 25S 1 PZ","20 México","200 México","M200","C20008","1075","Marina Nacional","0","0",".21","9.24","9.24","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100022971","7503023959278","CAMEL CAMEL FILTERS ORIGINAL 25S 29 GR","30 Jalisco-Baja California-Sonora","610 Baja California (Ensenada)","M610","C61002","1926","CIUDAD DEPORTIVA","0","0",".86","58.73","58.73","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100022971","7503023959278","CAMEL CAMEL FILTERS ORIGINAL 25S 29 GR","50 Nuevo León","500 Nuevo León","M504","C50402","5","Santa Barbara","0","0",".29","17.98","17.98","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100021813","7503023959506","CAMEL MAX DOUBLE 1 27.4 G","50 Nuevo León","500 Nuevo León","M508","C50801","2040","Concordia y San Francisco","0","0",".29","18.72","18.72","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100021813","7503023959506","CAMEL MAX DOUBLE 1 27.4 G","50 Nuevo León","500 Nuevo León","M500","C50005","1172","Tapia Y Galeana","0","0",".14","9.36","9.36","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100080897","42138037","WINSTON CIGARR CLASSIC 20S CAJET","10 Coahuila-Tamaulipas","100 Tamaulipas (Reynosa)","M100","C10001","951","Km 30","0","0",".32","18.29","18.29","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100016411","7503023959162","WINSTON WINSTO WATERMELON 100S 1CAJE","20 México","200 México","M200","C20003","864","Prado Norte","0","0",".04","1.72","1.72","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100022971","7503023959278","CAMEL CAMEL FILTERS ORIGINAL 25S 29 GR","10 Coahuila-Tamaulipas","400 Coahuila (Saltillo)","M400","C40003","748","Plan De Guadalupe","0","0",".14","8.99","8.99","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100080898","42138051","WINSTON CIGARR BLUE 20S CAJET","50 Nuevo León","500 Nuevo León","M506","C50603","901","Tecmilenio","0","0",".29","16.26","16.26","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100080898","42138051","WINSTON CIGARR BLUE 20S CAJET","50 Nuevo León","500 Nuevo León","M501","C50105","236","Nueva Ruíz Cortínes","0","0","1","56.9","56.9","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100014850","4033100094316","WINSTON CLASSIC 25S		","50 Nuevo León","500 Nuevo León","M507","C50705","869","Buena Vista","0","0",".57","35.47","35.47","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100080896","40331362","WINSTON CIGARR CLASSIC  14S CAJET","50 Nuevo León","500 Nuevo León","M501","C50108","1735","VALLE DEL OLMO","0","0",".11","4.62","4.62","DESABASTO"
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.","008 Cigarros","100022971","7503023959278","CAMEL CAMEL FILTERS ORIGINAL 25S 29 GR","20 México","890 Quintana Roo","M890","C89006","2274","CATALUNA II","0","0",".64","41.56","41.56","DESABASTO"
"21864 ARTICUN DISTRIBUIDORA S.A. DE C.V.","008 Cigarros","100014777","7503006684388","ARTIGAS/CARL PURO MIX PLUS CORONA MA 40GR						","20 México","890 Quintana Roo","M890","C89010","2770","ANDROMEDA","0","0",".07","7.15","7.15","DESABASTO"
